global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,95,2,250000,750000,-3764.763779527559,0.0,236.83562992125985
,95,3,250000,750000,0.0,0.0,631.7667322834645
,96,1,500000,750000,0.0,0.0,710.5068897637796
,96,2,500000,750000,-1882.3818897637796,0.0,315.88336614173227
,96,3,500000,750000,0.0,0.0,631.7667322834645
,97,1,750000,750000,0.0,0.0,631.7667322834645
,97,2,750000,750000,-3764.763779527559,0.0,236.83562992125985
,97,3,750000,750000,-1882.3818897637796,0.0,631.7667322834645
,98,1,1000000,750000,0.0,0.0,631.7667322834645
,98,2,1000000,750000,-5647.145669291339,0.0,236.83562992125985
,98,3,1000000,750000,-3764.763779527559,-3779.527559055118,710.5068897637796
,99,1,1250000,750000,0.0,0.0,631.7667322834645
,99,2,1250000,750000,-1882.3818897637796,0.0,236.83562992125985
,99,3,1250000,750000,1882.3818897637796,0.0,631.7667322834645
,100,1,-1250000,1000000,0.0,0.0,631.7667322834645
,100,2,-1250000,1000000,1882.3818897637796,0.0,236.83562992125985
,100,3,-1250000,1000000,-1882.3818897637796,0.0,631.7667322834645
,101,1,-1000000,1000000,1882.3818897637796,0.0,631.7667322834645
,101,2,-1000000,1000000,-1882.3818897637796,0.0,236.83562992125985
,101,3,-1000000,1000000,-3764.763779527559,0.0,710.5068897637796
,102,1,-750000,1000000,0.0,0.0,631.7667322834645
,102,2,-750000,1000000,0.0,0.0,236.83562992125985
,102,3,-750000,1000000,-1882.3818897637796,0.0,710.5068897637796
,103,1,-500000,1000000,-9411.909448818898,-3779.527559055118,631.7667322834645
,103,2,-500000,1000000,-3764.763779527559,0.0,236.83562992125985
,103,3,-500000,1000000,0.0,0.0,631.7667322834645
,104,1,-250000,1000000,0.0,0.0,710.5068897637796
,104,2,-250000,1000000,-5647.145669291339,0.0,236.83562992125985
,104,3,-250000,1000000,0.0,-7559.055118110236,710.5068897637796
,105,1,0,1000000,0.0,0.0,631.7667322834645
,105,2,0,1000000,-5647.145669291339,0.0,236.83562992125985
,105,3,0,1000000,0.0,0.0,631.7667322834645
,106,1,250000,1000000,0.0,0.0,631.7667322834645
,106,2,250000,1000000,3764.763779527559,0.0,236.83562992125985
,106,3,250000,1000000,1882.3818897637796,0.0,631.7667322834645
,107,1,500000,1000000,-3764.763779527559,0.0,631.7667322834645
,107,2,500000,1000000,-7529.527559055118,0.0,236.83562992125985
,107,3,500000,1000000,0.0,0.0,631.7667322834645
,108,1,750000,1000000,-3764.763779527559,-3779.527559055118,631.7667322834645
,108,2,750000,1000000,-9411.909448818898,-3779.527559055118,236.83562992125985
,108,3,750000,1000000,-3764.763779527559,0.0,631.7667322834645
,109,1,1000000,1000000,-3764.763779527559,-3779.527559055118,631.7667322834645
,109,2,1000000,1000000,0.0,0.0,236.83562992125985
,109,3,1000000,1000000,-3764.763779527559,0.0,631.7667322834645
,110,1,1250000,1000000,-1882.3818897637796,0.0,710.5068897637796
